,id,sales
0,3000888,362.4492003316553
1,3000889,351.4836518820662
2,3000890,416.87149864381104
3,3000891,1093.0865070962268
4,3000892,318.5870065332991
5,3000893,765.7418293517132
6,3000894,296.65590963412103
7,3000895,1240.1078013262054
8,3000896,1992.676204989955
9,3000897,950.9398211873588
10,3000898,290.9704134414318
11,3000899,280.00486499184274
12,3000900,2674.1712656992704
13,3000901,219.8970704869977
14,3000902,208.93152203740866
15,3000903,274.3193687991535
16,3000904,416.0606107722322
17,3000905,176.03487668864153
18,3000906,546.8363042957219
19,3000907,154.10377978946343
20,3000908,753.9653930305453
21,3000909,323.05617091862007
22,3000910,464.79741289169874
23,3000911,110.24158599110726
24,3000912,99.27603754151824
25,3000913,775.491045993934
26,3000914,77.34494064234013
27,3000915,66.37939219275108
28,3000916,55.41384374316203
29,3000917,44.44829529357298
30,3000918,9806.71733389472
31,3000919,556.9909648737321
32,3000920,11.551649944805888
33,3000921,386.7017045569727
34,3000922,375.73615610738364
35,3000923,441.12400286912845
36,3000924,1995.403056251884
37,3000925,342.8395107586165
38,3000926,904.5244263940315
39,3000927,320.9084138594384
40,3000928,1455.2437935798575
41,3000929,4345.707263160956
42,3000930,975.1923254126762
43,3000931,315.2229176667492
44,3000932,304.25736921716015
45,3000933,3920.07809330593
46,3000934,244.1495747123151
47,3000935,233.18402626272606
48,3000936,298.5718730244709
49,3000937,440.3131149975496
50,3000938,200.28738091395894
51,3000939,761.9722965493739
52,3000940,178.35628401478084
53,3000941,778.2178972558628
54,3000942,347.3086751439375
55,3000943,527.226614722683
56,3000944,134.49409021642467
57,3000945,123.52854176683562
58,3000946,837.9202478249184
59,3000947,101.59744486765754
60,3000948,90.6318964180685
61,3000949,79.66634796847944
62,3000950,68.70079951889039
63,3000951,8838.375700372697
64,3000952,581.2434690990494
65,3000953,35.8041541701233
66,3000954,389.3964272486746
67,3000955,378.4308787990856
68,3000956,443.8187255608304
69,3000957,2341.688057394588
70,3000958,345.5342334503184
71,3000959,945.3958466914005
72,3000960,323.6031365511403
73,3000961,1648.8220042998942
74,3000962,5837.293192473669
75,3000963,977.8870481043782
76,3000964,317.9176403584511
77,3000965,306.9520919088621
78,3000966,4151.833001631634
79,3000967,246.84429740401703
80,3000968,235.87874895442798
81,3000969,377.6199909275067
82,3000970,443.0078376892515
83,3000971,202.98210360566085
84,3000972,726.4903216354089
85,3000973,181.05100670648278
86,3000974,780.9126199475647
87,3000975,273.6500026243055
88,3000976,453.5679422030512
89,3000977,137.1888129081266
90,3000978,126.22326445853756
91,3000979,802.4382729109534
92,3000980,104.29216755935948
93,3000981,131.50331671543736
94,3000982,82.36107066018138
95,3000983,71.39552221059233
96,3000984,6283.231683484714
97,3000985,583.9381917907514
98,3000986,38.49887686182524
99,3000987,392.0911499403765
100,3000988,381.1256014907875
101,3000989,446.5134482525323
102,3000990,1809.909013606953
103,3000991,348.22895614202037
104,3000992,986.2672669887693
105,3000993,326.29785924284226
106,3000994,1422.4565413575945
107,3000995,4694.6869869953625
108,3000996,980.58177079608
109,3000997,320.612363050153
110,3000998,309.64681460056397
111,3000999,3581.8772602383315
112,3001000,249.53902009571897
113,3001001,238.57347164612992
114,3001002,303.9613184078747
115,3001003,445.70256038095346
116,3001004,205.6768262973628
117,3001005,767.3617419327778
118,3001006,183.74572939818472
